metric_id,name,factor,source_dataset,source_file,source_column,formula,unit,granularity,join_key,traps
M01,IMD Score,Factor 1: Deprivation,IMD 2025,imd2025_all_ranks_scores_deciles.csv,Index of Multiple Deprivation (IMD) Score,Direct read (no transformation),"Score (0-100, higher=more deprived)",LSOA,LSOA code (2021),Score is not linearly proportional — decile 1 LSOAs vary widely
M02,IMD Decile,Factor 1: Deprivation,IMD 2025,imd2025_all_ranks_scores_deciles.csv,Index of Multiple Deprivation (IMD) Decile,"Direct read (1=most deprived, 10=least)",Decile (1-10),LSOA,LSOA code (2021),Decile boundaries are by national rank — not evenly spaced by score
M03,Unemployment Rate,Factor 2: Unemployment,NOMIS TS066,nomis_unemployment_lsoa.csv,Unemployed columns / Total economically active,sum(Unemployed cols) / Total_16plus * 100,% of 16+ population,LSOA,geography code,"This is % of total 16+, NOT % of economically active. Rate definition matters."
M04,No-Car Household %,Factor 3: Car Ownership,Census TS045,census2021-ts045.zip,No cars or vans in household / Total households,no_car_households / total_households * 100,% of households,LSOA,geography code,HOUSEHOLD-level not person-level. High no-car can be wealthy city or poor area.
M05,Elderly Population Share,Factor 4: Elderly Population,Census TS007a,census2021-ts007a.zip,Sum of 65+ age bands / Total population,sum(aged_65_to_69 + aged_70_to_74 + aged_75_to_79 + aged_80_to_84 + aged_85_plus) / total * 100,% of population,LSOA,geography code,Age bands are 5-year groups. 65+ threshold is standard but arbitrary.
M06,Income Deprivation Score,Factor 5: Income Levels,IMD 2025,imd2025_all_ranks_scores_deciles.csv,Income Score (rate),Direct read — proportion in income-deprived households,Rate (0-1),LSOA,LSOA code (2021),This is a RATE not a score — it's the actual proportion of income-deprived population
M07,Non-White Population %,Factor 6: Ethnic Composition,Census TS021,census2021-ts021.zip,(Total - White) / Total,(total_usual_residents - ethnic_group_white) / total_usual_residents * 100,% of population,LSOA,geography code,"'White' is the broadest group — includes English, Irish, Roma, Other White. Non-white is NOT a homogeneous group."
M08,Geographical Barriers Score,Factor 7: Gender-Adjusted Accessibility (proxy),IMD 2025,imd2025_all_ranks_scores_deciles.csv,Geographical Barriers sub-domain Score,"Direct read — composite distance to GP, school, post office, supermarket",Score (higher=more barriers),LSOA,LSOA code (2021),This is a PROXY for gender-adjusted accessibility. True gender dimension would need specific data.
M09,Urban/Rural Classification,Factor 8: Urban/Rural,RUC 2021,ruc2021_lsoa_ew.csv,RUC11CD / classification column,Direct categorical read — 6 categories collapsed to Urban/Rural binary or kept as 6-way,Category,LSOA,LSOA11CD (first column),RUC is based on 2011 boundaries — mapped to 2021 LSOAs. Some edge cases possible.
M10,Bus Stop Count,Bus Coverage,NaPTAN,Stops.csv,Count of ATCOCode per LSOA (spatial join),"COUNT(stops WHERE StopType IN (BCT,BCS,BCE) AND Status='act' AND ATCOCode starts with 0-4) per LSOA via point-in-polygon",Count,LSOA,Spatial join (Easting/Northing → LSOA boundary polygon),Requires spatial join. 52K stops have null coordinates. England-only filter critical.
M11,Bus Stops per 1K Population,Bus Coverage (normalized),NaPTAN + Census TS001,Stops.csv + census2021_ts001_lsoa_population.csv,stop_count / population * 1000,M10 (stop_count) / TS001_population * 1000,"Stops per 1,000 residents",LSOA,LSOA code,Population denominator = Census 2021 total (~56.49M). Never use pipeline-filtered population.
M12,IDACI Score,Factor 7: Accessibility (children dimension),IMD 2025,imd2025_all_ranks_scores_deciles.csv,Income Deprivation Affecting Children Index (IDACI) Score (rate),Direct read — proportion of 0-15 year olds in income-deprived households,Rate (0-1),LSOA,LSOA code (2021),Supplementary index — not part of the 7 main domains
M13,IDAOPI Score,Factor 4: Elderly (income dimension),IMD 2025,imd2025_all_ranks_scores_deciles.csv,Income Deprivation Affecting Older People Index (IDAOPI) Score (rate),Direct read — proportion of 60+ in income-deprived households,Rate (0-1),LSOA,LSOA code (2021),Supplementary index — not part of the 7 main domains
M14,Bus Need Score,Composite,"Derived from M01, M03, M04, M05",Multiple,Composite of normalized factors,"mean(normalize(imd_score), normalize(unemployment_pct), normalize(nocar_pct), normalize(elderly_pct))","Score (0-1, higher=more need)",LSOA,LSOA code,Equal weighting is arbitrary. Could be policy-weighted. Min-max normalization.
